PRODUCT NAME, PRICE
HORLICKS Chocolate 400g BIB,
COCA COLA 2L (PET),Rs.600.00
ZESTA Foil Pack 100g,Rs.420.00
LIPTON Laojee 400g,Rs.225.00
SUSTAGEN School 400g - Chocolate,Rs.920.00
BOGAWANTALAWA Kahata Tea 400g,"Rs.2,500.00"
BOGAWANTALAWA Legend Tea 200g,Rs.900.00
ACTIVE ALOE Aloe Vera Drink 200ml,Rs.650.00
SPRITE 2L (PET),Rs.150.00
ZESTA Foil Pack 400g,Rs.420.00
Fadna Shape Up Tea (2g x 20) Bags,Rs.920.00
VIVA ORIGINAL 400G POUCH,"Rs.1,200.00"
"Red Bull Energy Drink, 355 ml",Rs.920.00
WATAWALA Kahata Tea 200g,Rs.920.00
DAILY Activ Malt Chocolate Drink 200ml,Rs.390.00
AMBEWELA FRESH MILK TETRA PAK 180ML,Rs.120.00
ZESTA Foil Pack 200g,Rs.110.00
PEPSI 1.5L,Rs.455.00
NESCAFE 3 IN1 COOFFEE 180g,Rs.350.00
MIRINDA ORANGE 1.5L,Rs.700.00
KOTMALE FRESH MILK 200ml PLAIN,
E/H ORANGE CRUSH 1.5L,Rs.120.00
7 UP 1.5L,Rs.350.00
Daily Faluda Flavour 1L,Rs.350.00
SUNUP Strong Tea Pouch 400g,Rs.480.00
AMBEWELA Non Fat Milk 1L,Rs.550.00
VIVA ORIGINAL 800G POUCH,Rs.480.00
"Red Bull Energy Drink, Sugar Free 250 ml","Rs.1,830.00"
"Red Bull Energy Drink, 250 ml (4 pack)",Rs.700.00
FANTA Cream Soda 1.5L,"Rs.2,780.00"
FARM Lanka Pure Goat Milk 190ml,Rs.350.00
MOUNTAIN-DEW 1.5L,Rs.200.00
ZESTA Tea Bags 25`s 50g,Rs.350.00
WATAWALA Kahata Tea Pouch 400g,Rs.210.00
SPRITE 1500ml,Rs.770.00
RICH LIFE VANILA MILK 180ml,Rs.350.00
RICH LIFE FULL CREAM MILK 1L,Rs.120.00
RICH LIFE CHOCOLATE MILK 180ml,Rs.525.00
"Red Bull Energy Drink, 250 ml",Rs.120.00
PORTELLO 1500ml,Rs.700.00
WATAWALA Kahata Tea Pouch 500g,
E/H Tonic 500ml,Rs.950.00
E/H Dry Ginger Ale 500ml,Rs.170.00
ZESTA Green Tea 25 Envilopes 50g,Rs.170.00
LIPTON CEYLONTA 400g,Rs.255.00
SUNUP Black Tea Pouch 200g,"Rs.1,000.00"
SMAK Mixed Fruit Nectar Pet Bottle 500ml,Rs.280.00
SMAK Mango Nectar 1L,Rs.280.00
NESPRAY Everyday 1Kg,Rs.450.00
LIPTON Clear Green Tea Bag 26g 20s,"Rs.2,380.00"
KIST MIXED FRUIT NECTAR 200ml,Rs.290.00
Smak Nectar Mix Fruit 1000ml,Rs.130.00
Smak Nectar Wood Apple 1000ml,Rs.450.00
WATAWALA Kahata Tea Pouch 100g,Rs.450.00
VIVA ORIGINAL 400G,Rs.190.00
RICH LIFE NON FAT MILK 1L,Rs.930.00
RICH LIFE LOW FAT MILK 1L,Rs.450.00
RICH LIFE FULL CREAM MILK 180ml,Rs.450.00
LIPTON LAOJEE 100g,Rs.120.00
LIPTON CEYLONTA T/BAGS 50s 100g,Rs.230.00
NESCAFE ICE COLD COFFEE 180ml,
MD Woodapple Nectar 1L,Rs.120.00
MD Passion Nectar 1L,Rs.270.00
